ts_code,name,year,有息负债率,利息保障倍数,短期债务覆盖率,对外担保比率,受限货币资金占比,备注
600519.SH,贵州茅台,2015,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600519.SH,贵州茅台,2016,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600519.SH,贵州茅台,2017,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600519.SH,贵州茅台,2018,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600519.SH,贵州茅台,2019,0,7882.8,0,,,对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600519.SH,贵州茅台,2020,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600519.SH,贵州茅台,2021,0.04,,0.16,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600519.SH,贵州茅台,2022,0.04,,0.3,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600519.SH,贵州茅台,2023,0.02,,0.09,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
600519.SH,贵州茅台,2024,,,,,,资产负债表数据缺失
000858.SZ,五粮液,2015,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000858.SZ,五粮液,2016,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000858.SZ,五粮液,2017,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000858.SZ,五粮液,2018,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000858.SZ,五粮液,2019,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000858.SZ,五粮液,2020,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000858.SZ,五粮液,2021,0.27,,1.34,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000858.SZ,五粮液,2022,0.25,,1.54,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000858.SZ,五粮液,2023,0.01,,0.03,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000858.SZ,五粮液,2024,,,,,,资产负债表数据缺失
000568.SZ,泸州老窖,2015,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000568.SZ,泸州老窖,2016,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000568.SZ,泸州老窖,2017,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000568.SZ,泸州老窖,2018,0,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000568.SZ,泸州老窖,2019,8.61,,0,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000568.SZ,泸州老窖,2020,11.6,,1.47,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
000568.SZ,泸州老窖,2021,9.43,,1.12,,,利息支出<=0，指标无意义; 对外担保数据缺失(Tushare不提供); 受限货币资金数据缺失(Tushare不提供)
